Tm,Tgt_20,Rec_20,Ctch%_20,Yds_20,TD_20,%Tgt_20,Tgt_10,Rec_10,Ctch%_10,Yds_10,TD_10,%Tgt_10,Highlights,Player,Year
NYJ,28,12,42.86%,75,10,36.8%,17,10,58.82%,44,8,44.7%,All Eric Decker red zone receiving plays,Eric Decker,2015
CLE,23,9,39.13%,69,8,26.7%,15,5,33.33%,20,5,37.5%,All Gary Barnidge red zone receiving plays,Gary Barnidge,2015
PIT,23,16,69.57%,93,8,29.9%,12,10,83.33%,40,6,29.3%,All Antonio Brown red zone receiving plays,Antonio Brown,2015
HOU,22,12,54.55%,106,6,31.4%,7,4,57.14%,26,4,24.1%,All DeAndre Hopkins red zone receiving plays,DeAndre Hopkins,2015
MIA,22,11,50.00%,63,3,32.4%,16,6,37.50%,22,3,37.2%,All Jarvis Landry red zone receiving plays,Jarvis Landry,2015
JAX,22,15,68.18%,109,12,24.7%,18,11,61.11%,62,10,35.3%,All Allen Robinson red zone receiving plays,Allen Robinson,2015
GB,21,10,47.62%,47,5,23.6%,14,7,50.00%,35,5,28.0%,All Randall Cobb red zone receiving plays,Randall Cobb,2015
ATL,21,12,57.14%,83,5,29.2%,12,6,50.00%,29,4,33.3%,All Julio Jones red zone receiving plays,Julio Jones,2015
NYJ,21,11,52.38%,97,9,27.6%,12,6,50.00%,18,4,31.6%,All Brandon Marshall red zone receiving plays,Brandon Marshall,2015
WAS,21,16,76.19%,133,10,26.6%,11,9,81.82%,43,7,26.8%,All Jordan Reed red zone receiving plays,Jordan Reed,2015
SF,19,10,52.63%,96,3,29.2%,6,1,16.67%,3,1,23.1%,All Anquan Boldin red zone receiving plays,Anquan Boldin,2015
NE,19,11,57.89%,57,7,22.9%,11,6,54.55%,15,5,27.5%,All Rob Gronkowski red zone receiving plays,Rob Gronkowski,2015
DEN,19,11,57.89%,87,3,27.5%,8,3,37.50%,15,2,27.6%,All Demaryius Thomas red zone receiving plays,Demaryius Thomas,2015
NYG,18,11,61.11%,82,6,22.2%,7,3,42.86%,9,3,18.4%,All Odell Beckham red zone receiving plays,Odell Beckham,2015
ARI,18,13,72.22%,88,8,23.1%,12,7,58.33%,40,7,30.0%,All Larry Fitzgerald red zone receiving plays,Larry Fitzgerald,2015
CIN,18,9,50.00%,82,7,27.7%,11,5,45.45%,36,5,33.3%,All A.J. Green red zone receiving plays,A.J. Green,2015
CAR,18,10,55.56%,83,4,26.1%,9,4,44.44%,23,2,30.0%,All Greg Olsen red zone receiving plays,Greg Olsen,2015
DAL,17,10,58.82%,74,5,23.9%,8,6,75.00%,20,4,21.1%,All Cole Beasley red zone receiving plays,Cole Beasley,2015
DET,17,11,64.71%,39,6,24.3%,11,10,90.91%,33,6,29.7%,All Golden Tate red zone receiving plays,Golden Tate,2015
ARI,16,10,62.50%,97,6,20.5%,5,4,80.00%,20,3,12.5%,All John Brown red zone receiving plays,John Brown,2015
NE,16,10,62.50%,78,5,19.3%,7,4,57.14%,29,3,17.5%,All Julian Edelman red zone receiving plays,Julian Edelman,2015
DET,16,11,68.75%,85,7,22.9%,9,6,66.67%,24,5,24.3%,All Calvin Johnson red zone receiving plays,Calvin Johnson,2015
GB,16,4,25.00%,30,3,18.0%,10,2,20.00%,9,2,20.0%,All James Jones red zone receiving plays,James Jones,2015
NO,16,10,62.50%,73,5,22.9%,5,4,80.00%,16,3,16.7%,All Ben Watson red zone receiving plays,Ben Watson,2015
SEA,15,9,60.00%,99,6,28.8%,5,2,40.00%,9,2,20.8%,All Doug Baldwin red zone receiving plays,Doug Baldwin,2015
CIN,15,12,80.00%,106,11,23.1%,9,8,88.89%,55,8,27.3%,All Tyler Eifert red zone receiving plays,Tyler Eifert,2015
WAS,15,8,53.33%,55,5,19.0%,11,4,36.36%,15,4,26.8%,All Pierre Garcon red zone receiving plays,Pierre Garcon,2015
IND,15,7,46.67%,51,3,20.8%,6,3,50.00%,13,2,18.2%,All T.Y. Hilton red zone receiving plays,T.Y. Hilton,2015
CHI,15,5,33.33%,56,2,20.8%,4,1,25.00%,10,1,10.5%,All Alshon Jeffery red zone receiving plays,Alshon Jeffery,2015
TEN,15,12,80.00%,89,4,27.3%,9,7,77.78%,25,4,29.0%,All Delanie Walker red zone receiving plays,Delanie Walker,2015
PIT,15,7,46.67%,44,3,19.5%,5,4,80.00%,23,3,12.2%,All Markus Wheaton red zone receiving plays,Markus Wheaton,2015
SDG,15,10,66.67%,77,5,21.4%,8,5,62.50%,35,4,30.8%,All Danny Woodhead red zone receiving plays,Danny Woodhead,2015
CLE,14,4,28.57%,24,1,16.3%,5,1,20.00%,4,1,12.5%,All Travis Benjamin red zone receiving plays,Travis Benjamin,2015
MIA,14,6,42.86%,53,3,20.6%,4,1,25.00%,2,1,9.3%,All Jordan Cameron red zone receiving plays,Jordan Cameron,2015
TB,14,2,14.29%,10,2,19.4%,8,2,25.00%,10,2,19.0%,All Mike Evans red zone receiving plays,Mike Evans,2015
ATL,14,9,64.29%,69,3,19.4%,4,3,75.00%,12,1,11.1%,All Devonta Freeman red zone receiving plays,Devonta Freeman,2015
PHI,14,9,64.29%,55,5,26.9%,8,7,87.50%,41,5,34.8%,All Jordan Matthews red zone receiving plays,Jordan Matthews,2015
GB,14,10,71.43%,46,7,15.7%,10,6,60.00%,25,6,20.0%,All Richard Rodgers red zone receiving plays,Richard Rodgers,2015
DAL,13,4,30.77%,48,3,18.3%,7,1,14.29%,10,1,18.4%,All Dez Bryant red zone receiving plays,Dez Bryant,2015
PIT,13,5,38.46%,51,3,16.9%,9,1,11.11%,8,1,22.0%,All Martavis Bryant red zone receiving plays,Martavis Bryant,2015
OAK,13,3,23.08%,18,2,23.2%,8,2,25.00%,10,2,36.4%,All Michael Crabtree red zone receiving plays,Michael Crabtree,2015
SDG,13,6,46.15%,66,5,18.6%,5,1,20.00%,9,1,19.2%,All Antonio Gates red zone receiving plays,Antonio Gates,2015
JAX,13,8,61.54%,56,5,14.6%,9,4,44.44%,23,3,17.6%,All Allen Hurns red zone receiving plays,Allen Hurns,2015
TB,13,5,38.46%,53,3,18.1%,8,1,12.50%,6,1,19.0%,All Vincent Jackson red zone receiving plays,Vincent Jackson,2015
KC,13,10,76.92%,81,6,22.4%,4,2,50.00%,6,2,21.1%,All Jeremy Maclin red zone receiving plays,Jeremy Maclin,2015
PIT,13,8,61.54%,58,2,16.9%,9,4,44.44%,15,2,22.0%,All Heath Miller red zone receiving plays,Heath Miller,2015
DET,13,10,76.92%,72,2,18.6%,5,4,80.00%,23,2,13.5%,All Theo Riddick red zone receiving plays,Theo Riddick,2015
HOU,13,5,38.46%,33,2,18.6%,5,2,40.00%,9,1,17.2%,All Nate Washington red zone receiving plays,Nate Washington,2015
DAL,13,8,61.54%,48,3,18.3%,7,3,42.86%,7,2,18.4%,All Jason Witten red zone receiving plays,Jason Witten,2015
CLE,12,7,58.33%,39,2,14.0%,7,4,57.14%,23,2,17.5%,All Brian Hartline red zone receiving plays,Brian Hartline,2015
CIN,12,7,58.33%,58,2,18.5%,4,3,75.00%,20,1,12.1%,All Marvin Jones red zone receiving plays,Marvin Jones,2015
IND,12,8,66.67%,58,5,16.7%,5,3,60.00%,15,3,15.2%,All Donte Moncrief red zone receiving plays,Donte Moncrief,2015
GB,11,5,45.45%,27,1,12.4%,5,3,60.00%,12,1,10.0%,All Davante Adams red zone receiving plays,Davante Adams,2015
NE,11,8,72.73%,54,3,13.3%,5,3,60.00%,13,2,12.5%,All Danny Amendola red zone receiving plays,Danny Amendola,2015
WAS,11,5,45.45%,21,2,13.9%,8,3,37.50%,2,1,19.5%,All Jamison Crowder red zone receiving plays,Jamison Crowder,2015
IND,11,6,54.55%,29,2,15.3%,4,2,50.00%,10,2,12.1%,All Coby Fleener red zone receiving plays,Coby Fleener,2015
CAR,11,5,45.45%,62,5,15.9%,5,1,20.00%,5,1,16.7%,All Devin Funchess red zone receiving plays,Devin Funchess,2015
IND,11,5,45.45%,45,4,15.3%,7,3,42.86%,9,2,21.2%,All Andre Johnson red zone receiving plays,Andre Johnson,2015
NYG,11,5,45.45%,39,3,13.6%,9,4,44.44%,28,2,23.7%,All Rueben Randle red zone receiving plays,Rueben Randle,2015
NYG,11,8,72.73%,47,4,13.6%,5,4,80.00%,16,4,13.2%,All Shane Vereen red zone receiving plays,Shane Vereen,2015
BAL,10,6,60.00%,37,1,13.3%,2,0,0.00%,0,0,6.1%,All Javorius Allen red zone receiving plays,Javorius Allen,2015
CAR,10,6,60.00%,49,2,14.5%,4,3,75.00%,11,1,13.3%,All Jerricho Cotchery red zone receiving plays,Jerricho Cotchery,2015
DEN,10,4,40.00%,20,3,14.5%,4,2,50.00%,2,2,13.8%,All Owen Daniels red zone receiving plays,Owen Daniels,2015
ARI,10,4,40.00%,25,2,12.8%,4,2,50.00%,6,2,10.0%,All Michael Floyd red zone receiving plays,Michael Floyd,2015
CHI,10,6,60.00%,37,2,13.9%,7,3,42.86%,15,2,18.4%,All Matt Forte red zone receiving plays,Matt Forte,2015
SDG,10,7,70.00%,57,3,14.3%,2,2,100.00%,15,2,7.7%,All Steve Johnson red zone receiving plays,Steve Johnson,2015
KC,10,5,50.00%,40,4,17.2%,5,2,40.00%,12,2,26.3%,All Travis Kelce red zone receiving plays,Travis Kelce,2015
CHI,10,6,60.00%,27,1,13.9%,9,5,55.56%,28,1,23.7%,All Eddie Royal red zone receiving plays,Eddie Royal,2015
MIN,10,4,40.00%,19,3,26.3%,8,3,37.50%,10,3,53.3%,All Kyle Rudolph red zone receiving plays,Kyle Rudolph,2015
TB,10,6,60.00%,55,2,13.9%,1,1,100.00%,10,1,2.4%,All Charles Sims red zone receiving plays,Charles Sims,2015
JAX,10,5,50.00%,29,3,11.2%,7,3,42.86%,17,3,13.7%,All Julius Thomas red zone receiving plays,Julius Thomas,2015
NYG,10,5,50.00%,35,3,12.3%,6,4,66.67%,29,3,15.8%,All Will Tye red zone receiving plays,Will Tye,2015
DAL,10,3,30.00%,33,1,14.1%,6,0,0.00%,0,0,15.8%,All Terrance Williams red zone receiving plays,Terrance Williams,2015
STL,9,4,44.44%,46,4,26.5%,4,1,25.00%,5,1,36.4%,All Tavon Austin red zone receiving plays,Tavon Austin,2015
NE,9,6,66.67%,50,4,10.8%,6,4,66.67%,19,3,15.0%,All Scott Chandler red zone receiving plays,Scott Chandler,2015
PHI,9,3,33.33%,10,1,17.3%,4,2,50.00%,7,1,17.4%,All Zach Ertz red zone receiving plays,Zach Ertz,2015
CAR,9,7,77.78%,59,6,13.0%,3,3,100.00%,11,3,10.0%,All Ted Ginn red zone receiving plays,Ted Ginn,2015
TEN,9,4,44.44%,30,3,16.4%,5,2,40.00%,8,2,16.1%,All Dorial Green-Beckham red zone receiving plays,Dorial Green-Beckham,2015
ATL,9,6,66.67%,46,3,12.5%,4,3,75.00%,16,3,11.1%,All Leonard Hankerson red zone receiving plays,Leonard Hankerson,2015
BAL,9,7,77.78%,26,4,12.0%,7,5,71.43%,10,4,21.2%,All Kyle Juszczyk red zone receiving plays,Kyle Juszczyk,2015
SEA,9,6,66.67%,68,3,17.3%,3,1,33.33%,9,1,12.5%,All Jermaine Kearse red zone receiving plays,Jermaine Kearse,2015
OAK,9,5,55.56%,58,5,16.1%,3,1,33.33%,10,1,13.6%,All Seth Roberts red zone receiving plays,Seth Roberts,2015
TB,9,3,33.33%,21,2,12.5%,7,3,42.86%,21,2,16.7%,All Austin Seferian-Jenkins red zone receiving plays,Austin Seferian-Jenkins,2015
BAL,9,2,22.22%,23,1,12.0%,3,1,33.33%,7,0,9.1%,All Steve Smith red zone receiving plays,Steve Smith,2015
GB,9,6,66.67%,40,2,10.1%,1,1,100.00%,5,1,2.0%,All James Starks red zone receiving plays,James Starks,2015
JAX,9,4,44.44%,23,0,10.1%,2,1,50.00%,6,0,3.9%,All Bryan Walters red zone receiving plays,Bryan Walters,2015
KC,9,2,22.22%,4,0,15.5%,2,0,0.00%,0,0,10.5%,All Charcandrick West red zone receiving plays,Charcandrick West,2015
BAL,8,6,75.00%,46,4,10.7%,5,3,60.00%,12,2,15.2%,All Kamar Aiken red zone receiving plays,Kamar Aiken,2015
CHI,8,5,62.50%,21,2,11.1%,5,2,40.00%,6,2,13.2%,All Martellus Bennett red zone receiving plays,Martellus Bennett,2015
NO,8,4,50.00%,26,2,11.4%,3,2,66.67%,8,1,10.0%,All Brandin Cooks red zone receiving plays,Brandin Cooks,2015
STL,8,3,37.50%,25,0,23.5%,2,1,50.00%,7,0,18.2%,All Jared Cook red zone receiving plays,Jared Cook,2015
NYG,8,4,50.00%,28,2,9.9%,4,2,50.00%,11,1,10.5%,All Larry Donnell red zone receiving plays,Larry Donnell,2015
DET,8,6,75.00%,59,5,11.4%,4,3,75.00%,11,3,10.8%,All Eric Ebron red zone receiving plays,Eric Ebron,2015
BAL,8,5,62.50%,49,3,10.7%,4,3,75.00%,22,3,12.1%,All Crockett Gillmore red zone receiving plays,Crockett Gillmore,2015
SEA,8,3,37.50%,8,1,15.4%,4,2,50.00%,8,1,16.7%,All Jimmy Graham red zone receiving plays,Jimmy Graham,2015
SDG,8,5,62.50%,62,3,11.4%,1,0,0.00%,0,0,3.8%,All Ladarius Green red zone receiving plays,Ladarius Green,2015
ARI,8,2,25.00%,21,1,10.3%,5,1,20.00%,7,0,12.5%,All Jermaine Gresham red zone receiving plays,Jermaine Gresham,2015
NYG,8,5,62.50%,27,2,9.9%,3,2,66.67%,10,2,7.9%,All Dwayne Harris red zone receiving plays,Dwayne Harris,2015
CLE,8,3,37.50%,18,0,9.3%,2,0,0.00%,0,0,5.0%,All Andrew Hawkins red zone receiving plays,Andrew Hawkins,2015
NO,8,4,50.00%,26,2,11.4%,5,3,60.00%,19,2,16.7%,All Josh Hill red zone receiving plays,Josh Hill,2015
ARI,8,3,37.50%,34,2,10.3%,4,1,25.00%,10,1,10.0%,All David Johnson red zone receiving plays,David Johnson,2015
CLE,8,6,75.00%,23,1,9.3%,3,1,33.33%,-5,0,7.5%,All Duke Johnson red zone receiving plays,Duke Johnson,2015
MIA,8,1,12.50%,15,1,11.8%,6,0,0.00%,0,0,14.0%,All DeVante Parker red zone receiving plays,DeVante Parker,2015
DEN,8,4,50.00%,48,3,11.6%,3,1,33.33%,8,1,10.3%,All Emmanuel Sanders red zone receiving plays,Emmanuel Sanders,2015
NO,8,5,62.50%,30,2,11.4%,4,2,50.00%,9,1,13.3%,All Willie Snead red zone receiving plays,Willie Snead,2015
WAS,8,8,100.00%,66,2,10.1%,2,2,100.00%,9,1,4.9%,All Chris Thompson red zone receiving plays,Chris Thompson,2015
ATL,8,3,37.50%,18,1,11.1%,6,2,33.33%,11,1,16.7%,All Roddy White red zone receiving plays,Roddy White,2015
NO,7,5,71.43%,25,3,10.0%,4,2,50.00%,4,2,13.3%,All Marques Colston red zone receiving plays,Marques Colston,2015
OAK,7,3,42.86%,38,2,12.5%,0,0,0,0,0,.0%,All Amari Cooper red zone receiving plays,Amari Cooper,2015
2TM,7,4,57.14%,18,0,0,4,2,50.00%,2,0,0,All Vernon Davis red zone receiving plays,Vernon Davis,2015
NE,7,3,42.86%,29,0,8.4%,2,0,0.00%,0,0,5.0%,All Brandon LaFell red zone receiving plays,Brandon LaFell,2015
CHI,7,3,42.86%,17,0,9.7%,4,2,50.00%,8,0,10.5%,All Jeremy Langford red zone receiving plays,Jeremy Langford,2015
SF,7,4,57.14%,35,3,10.8%,3,2,66.67%,9,2,11.5%,All Vance McDonald red zone receiving plays,Vance McDonald,2015
NYJ,7,4,57.14%,47,1,9.2%,0,0,0,0,0,.0%,All Bilal Powell red zone receiving plays,Bilal Powell,2015
JAX,7,4,57.14%,34,0,7.9%,3,2,66.67%,12,0,5.9%,All Denard Robinson red zone receiving plays,Denard Robinson,2015
CIN,7,4,57.14%,31,0,10.8%,2,0,0.00%,0,0,6.1%,All Mohamed Sanu red zone receiving plays,Mohamed Sanu,2015
HOU,7,5,71.43%,34,2,10.0%,2,2,100.00%,11,2,6.9%,All Cecil Shorts red zone receiving plays,Cecil Shorts,2015
KC,7,6,85.71%,33,1,12.1%,2,2,100.00%,-3,0,10.5%,All De'Anthony Thomas red zone receiving plays,De'Anthony Thomas,2015
CAR,7,6,85.71%,32,3,10.1%,3,3,100.00%,7,2,10.0%,All Mike Tolbert red zone receiving plays,Mike Tolbert,2015
OAK,7,2,28.57%,11,2,12.5%,2,2,100.00%,11,2,9.1%,All Clive Walford red zone receiving plays,Clive Walford,2015
MIN,7,3,42.86%,21,2,18.4%,4,2,50.00%,11,2,26.7%,All Mike Wallace red zone receiving plays,Mike Wallace,2015
BUF,7,4,57.14%,29,2,17.9%,3,2,66.67%,5,1,15.8%,All Robert Woods red zone receiving plays,Robert Woods,2015
PHI,6,2,33.33%,23,0,11.5%,1,0,0.00%,0,0,4.3%,All Nelson Agholor red zone receiving plays,Nelson Agholor,2015
SDG,6,5,83.33%,52,2,8.6%,1,1,100.00%,9,0,3.8%,All Keenan Allen red zone receiving plays,Keenan Allen,2015
ARI,6,3,50.00%,10,1,7.7%,5,3,60.00%,10,1,12.5%,All Jaron Brown red zone receiving plays,Jaron Brown,2015
CAR,6,3,50.00%,27,1,8.7%,3,2,66.67%,11,1,10.0%,All Corey Brown red zone receiving plays,Corey Brown,2015
DEN,6,4,66.67%,21,2,8.7%,3,3,100.00%,15,2,10.3%,All Andre Caldwell red zone receiving plays,Andre Caldwell,2015
CAR,6,4,66.67%,7,2,8.7%,3,2,66.67%,5,2,10.0%,All Ed Dickson red zone receiving plays,Ed Dickson,2015
MIN,6,3,50.00%,23,1,15.8%,1,0,0.00%,0,0,6.7%,All Stefon Diggs red zone receiving plays,Stefon Diggs,2015
TEN,6,4,66.67%,32,2,10.9%,3,2,66.67%,8,1,9.7%,All Harry Douglas red zone receiving plays,Harry Douglas,2015
DAL,6,2,33.33%,15,1,8.5%,3,1,33.33%,2,1,7.9%,All Gavin Escobar red zone receiving plays,Gavin Escobar,2015
TEN,6,3,50.00%,34,2,10.9%,4,1,25.00%,5,1,12.9%,All Anthony Fasano red zone receiving plays,Anthony Fasano,2015
WAS,6,3,50.00%,16,2,7.6%,3,2,66.67%,8,2,7.3%,All Ryan Grant red zone receiving plays,Ryan Grant,2015
JAX,6,4,66.67%,9,2,6.7%,5,3,60.00%,3,2,9.8%,All Rashad Greene red zone receiving plays,Rashad Greene,2015
HOU,6,5,83.33%,34,1,8.6%,3,2,66.67%,7,0,10.3%,All Jonathan Grimes red zone receiving plays,Jonathan Grimes,2015
ATL,6,4,66.67%,26,0,8.3%,3,2,66.67%,9,0,8.3%,All Justin Hardy red zone receiving plays,Justin Hardy,2015
NO,6,4,66.67%,31,3,8.6%,2,1,50.00%,1,1,6.7%,All Michael Hoomanawanui red zone receiving plays,Michael Hoomanawanui,2015
SDG,6,4,66.67%,22,3,8.6%,4,3,75.00%,10,3,15.4%,All Dontrelle Inman red zone receiving plays,Dontrelle Inman,2015
SEA,6,5,83.33%,27,2,11.5%,2,2,100.00%,10,2,8.3%,All Fred Jackson red zone receiving plays,Fred Jackson,2015
JAX,6,0,0.00%,0,0,6.7%,3,0,0.00%,0,0,5.9%,All Marcedes Lewis red zone receiving plays,Marcedes Lewis,2015
CHI,6,4,66.67%,23,3,8.3%,3,3,100.00%,14,3,7.9%,All Zach Miller red zone receiving plays,Zach Miller,2015
DEN,6,5,83.33%,21,0,8.7%,3,3,100.00%,14,0,10.3%,All Jordan Norwood red zone receiving plays,Jordan Norwood,2015
OAK,6,2,33.33%,20,1,10.7%,1,0,0.00%,0,0,4.5%,All Mychal Rivera red zone receiving plays,Mychal Rivera,2015
BAL,6,3,50.00%,38,0,8.0%,4,1,25.00%,8,0,12.1%,All Jeremy Ross red zone receiving plays,Jeremy Ross,2015
SF,6,1,16.67%,16,1,9.2%,1,0,0.00%,0,0,3.8%,All Torrey Smith red zone receiving plays,Torrey Smith,2015
BUF,6,3,50.00%,10,1,15.4%,4,2,50.00%,6,1,21.1%,All Sammy Watkins red zone receiving plays,Sammy Watkins,2015
NE,6,5,83.33%,29,2,7.2%,4,4,100.00%,17,2,10.0%,All James White red zone receiving plays,James White,2015
NYG,6,1,16.67%,3,0,7.4%,1,0,0.00%,0,0,2.6%,All Myles White red zone receiving plays,Myles White,2015
KC,6,2,33.33%,7,0,10.3%,0,0,0,0,0,.0%,All Albert Wilson red zone receiving plays,Albert Wilson,2015
DET,5,4,80.00%,34,1,7.1%,1,1,100.00%,2,0,2.7%,All Ameer Abdullah red zone receiving plays,Ameer Abdullah,2015
TB,5,3,60.00%,26,1,6.9%,3,1,33.33%,8,1,7.1%,All Cameron Brate red zone receiving plays,Cameron Brate,2015
PHI,5,5,100.00%,36,3,9.6%,2,2,100.00%,12,2,8.7%,All Brent Celek red zone receiving plays,Brent Celek,2015
SF,5,4,80.00%,20,3,7.7%,3,2,66.67%,6,2,11.5%,All Garrett Celek red zone receiving plays,Garrett Celek,2015
2TM,5,3,60.00%,2,0,0,3,2,66.67%,2,0,0,All Shaun Draughn red zone receiving plays,Shaun Draughn,2015
TB,5,2,40.00%,11,1,6.9%,4,2,50.00%,11,1,9.5%,All Donteea Dye red zone receiving plays,Donteea Dye,2015
BAL,5,4,80.00%,16,0,6.7%,2,2,100.00%,7,0,6.1%,All Justin Forsett red zone receiving plays,Justin Forsett,2015
CLE,5,2,40.00%,17,0,5.8%,2,0,0.00%,0,0,5.0%,All Taylor Gabriel red zone receiving plays,Taylor Gabriel,2015
DEN,5,2,40.00%,0,0,7.2%,1,0,0.00%,0,0,3.4%,All Ronnie Hillman red zone receiving plays,Ronnie Hillman,2015
BUF,5,4,80.00%,20,1,12.8%,2,1,50.00%,2,1,10.5%,All Chris Hogan red zone receiving plays,Chris Hogan,2015
PHI,5,2,40.00%,11,1,9.6%,3,1,33.33%,2,1,13.0%,All Josh Huff red zone receiving plays,Josh Huff,2015
NO,5,4,80.00%,21,0,7.1%,1,0,0.00%,0,0,3.3%,All Mark Ingram red zone receiving plays,Mark Ingram,2015
NYJ,5,5,100.00%,46,1,6.6%,2,2,100.00%,18,1,5.3%,All Chris Ivory red zone receiving plays,Chris Ivory,2015
JAX,5,3,60.00%,24,1,5.6%,2,1,50.00%,2,1,3.9%,All Marqise Lee red zone receiving plays,Marqise Lee,2015
NE,5,3,60.00%,34,2,6.0%,2,1,50.00%,10,1,5.0%,All Dion Lewis red zone receiving plays,Dion Lewis,2015
TB,5,3,60.00%,22,1,6.9%,3,2,66.67%,12,1,7.1%,All Doug Martin red zone receiving plays,Doug Martin,2015
DET,5,4,80.00%,23,2,7.1%,2,1,50.00%,4,1,5.4%,All Lance Moore red zone receiving plays,Lance Moore,2015
PHI,5,2,40.00%,12,0,9.6%,1,0,0.00%,0,0,4.3%,All Darren Sproles red zone receiving plays,Darren Sproles,2015
MIA,5,1,20.00%,10,1,7.4%,2,1,50.00%,10,1,4.7%,All Kenny Stills red zone receiving plays,Kenny Stills,2015
ATL,5,2,40.00%,17,1,6.9%,2,1,50.00%,7,1,5.6%,All Jacob Tamme red zone receiving plays,Jacob Tamme,2015
IND,5,4,80.00%,36,1,6.9%,0,0,0,0,0,.0%,All Griff Whalen red zone receiving plays,Griff Whalen,2015
PIT,5,2,40.00%,8,0,6.5%,3,1,33.33%,6,0,7.3%,All DeAngelo Williams red zone receiving plays,DeAngelo Williams,2015
CHI,5,1,20.00%,9,0,6.9%,1,0,0.00%,0,0,2.6%,All Marquess Wilson red zone receiving plays,Marquess Wilson,2015
TEN,5,3,60.00%,31,2,9.1%,4,2,50.00%,12,1,12.9%,All Kendall Wright red zone receiving plays,Kendall Wright,2015
IND,4,2,50.00%,15,1,5.6%,2,1,50.00%,6,1,6.1%,All Dwayne Allen red zone receiving plays,Dwayne Allen,2015
SF,4,1,25.00%,5,0,6.2%,1,0,0.00%,0,0,3.8%,All Blake Bell red zone receiving plays,Blake Bell,2015
CHI,4,1,25.00%,5,0,5.6%,3,0,0.00%,0,0,7.9%,All Josh Bellamy red zone receiving plays,Josh Bellamy,2015
PIT,4,3,75.00%,15,0,5.2%,1,0,0.00%,0,0,2.4%,All Le'Veon Bell red zone receiving plays,Le'Veon Bell,2015
DAL,4,0,0.00%,0,0,5.6%,3,0,0.00%,0,0,7.9%,All Brice Butler red zone receiving plays,Brice Butler,2015
WAS,4,4,100.00%,24,1,5.1%,2,2,100.00%,12,1,4.9%,All Derek Carrier red zone receiving plays,Derek Carrier,2015
KC,4,4,100.00%,1,1,6.9%,4,4,100.00%,1,1,21.1%,All Jamaal Charles red zone receiving plays,Jamaal Charles,2015
NO,4,2,50.00%,18,1,5.7%,2,0,0.00%,0,0,6.7%,All Brandon Coleman red zone receiving plays,Brandon Coleman,2015
KC,4,3,75.00%,20,1,6.9%,2,1,50.00%,6,1,10.5%,All Chris Conley red zone receiving plays,Chris Conley,2015
STL,4,1,25.00%,10,0,11.8%,0,0,0,0,0,.0%,All Benny Cunningham red zone receiving plays,Benny Cunningham,2015
NE,4,2,50.00%,12,0,4.8%,2,0,0.00%,0,0,5.0%,All Aaron Dobson red zone receiving plays,Aaron Dobson,2015
IND,4,3,75.00%,9,1,5.6%,2,1,50.00%,3,1,6.1%,All Jack Doyle red zone receiving plays,Jack Doyle,2015
ARI,4,1,25.00%,13,0,5.1%,2,0,0.00%,0,0,5.0%,All Andre Ellington red zone receiving plays,Andre Ellington,2015
SDG,4,1,25.00%,9,1,5.7%,2,1,50.00%,9,1,7.7%,All Malcom Floyd red zone receiving plays,Malcom Floyd,2015
HOU,4,2,50.00%,21,2,5.7%,1,1,100.00%,7,1,3.4%,All Arian Foster red zone receiving plays,Arian Foster,2015
IND,4,2,50.00%,14,1,5.6%,3,2,66.67%,14,1,9.1%,All Frank Gore red zone receiving plays,Frank Gore,2015
BUF,4,0,0.00%,0,0,10.3%,1,0,0.00%,0,0,5.3%,All Chris Gragg red zone receiving plays,Chris Gragg,2015
HOU,4,1,25.00%,7,1,5.7%,2,1,50.00%,7,1,6.9%,All Garrett Graham red zone receiving plays,Garrett Graham,2015
JAX,4,2,50.00%,17,1,4.5%,1,1,100.00%,6,1,2.0%,All Clay Harbor red zone receiving plays,Clay Harbor,2015
CIN,4,3,75.00%,24,1,6.2%,1,1,100.00%,3,0,3.0%,All Jeremy Hill red zone receiving plays,Jeremy Hill,2015
OAK,4,2,50.00%,8,2,7.1%,2,2,100.00%,8,2,9.1%,All Andre Holmes red zone receiving plays,Andre Holmes,2015
TB,4,1,25.00%,6,1,5.6%,3,1,33.33%,6,1,7.1%,All Adam Humphries red zone receiving plays,Adam Humphries,2015
WAS,4,1,25.00%,2,0,5.1%,1,1,100.00%,2,0,2.4%,All DeSean Jackson red zone receiving plays,DeSean Jackson,2015
GB,4,0,0.00%,0,0,4.5%,3,0,0.00%,0,0,6.0%,All Jeff Janis red zone receiving plays,Jeff Janis,2015
GB,4,3,75.00%,16,0,4.5%,1,1,100.00%,1,0,2.0%,All John Kuhn red zone receiving plays,John Kuhn,2015
CHI,4,3,75.00%,18,0,5.6%,0,0,0,0,0,.0%,All Marc Mariani red zone receiving plays,Marc Mariani,2015
DAL,4,1,25.00%,3,0,5.6%,2,0,0.00%,0,0,5.3%,All Darren McFadden red zone receiving plays,Darren McFadden,2015
SF,4,2,50.00%,9,0,6.2%,3,1,33.33%,7,0,11.5%,All Bruce Miller red zone receiving plays,Bruce Miller,2015
MIA,4,2,50.00%,19,1,5.9%,3,1,33.33%,6,0,7.0%,All Lamar Miller red zone receiving plays,Lamar Miller,2015
GB,4,4,100.00%,20,1,4.5%,3,3,100.00%,18,1,6.0%,All Ty Montgomery red zone receiving plays,Ty Montgomery,2015
