Tm,Tgt_20,Rec_20,Ctch%_20,Yds_20,TD_20,%Tgt_20,Tgt_10,Rec_10,Ctch%_10,Yds_10,TD_10,%Tgt_10,Highlights,Player,Year
DEN,1,1,100.00%,14,0,1.7%,0,0,0,0,0,.0%,All Austin Traylor red zone receiving plays,Austin Traylor,2017
MIN,1,0,0.00%,0,0,1.7%,1,0,0.00%,0,0,3.4%,All Laquon Treadwell red zone receiving plays,Laquon Treadwell,2017
SEA,1,1,100.00%,17,1,1.5%,0,0,0,0,0,.0%,All Nick Vannett red zone receiving plays,Nick Vannett,2017
OAK,1,0,0.00%,0,0,2.2%,0,0,0,0,0,.0%,All Clive Walford red zone receiving plays,Clive Walford,2017
TB,1,1,100.00%,2,1,1.5%,1,1,100.00%,2,1,3.4%,All Leonard Wester red zone receiving plays,Leonard Wester,2017
ARI,1,0,0.00%,0,0,1.4%,0,0,0,0,0,.0%,All Kerwynn Williams red zone receiving plays,Kerwynn Williams,2017
CLE,1,0,0.00%,0,0,2.3%,1,0,0.00%,0,0,4.0%,All Marquez Williams red zone receiving plays,Marquez Williams,2017
LAC,1,1,100.00%,7,0,1.5%,0,0,0,0,0,.0%,All Tyrell Williams red zone receiving plays,Tyrell Williams,2017
TB,1,1,100.00%,18,1,1.5%,0,0,0,0,0,.0%,All Bobo Wilson red zone receiving plays,Bobo Wilson,2017
JAX,1,1,100.00%,2,0,2.0%,0,0,0,0,0,.0%,All T.J. Yeldon red zone receiving plays,T.J. Yeldon,2017
PHI,27,16,59.26%,118,7,34.6%,10,7,70.00%,35,5,27.0%,All Zach Ertz red zone receiving plays,Zach Ertz,2018
PIT,26,14,53.85%,87,5,31.3%,11,7,63.64%,13,3,30.6%,All JuJu Smith-Schuster red zone receiving plays,JuJu Smith-Schuster,2018
NO,26,22,84.62%,138,7,28.9%,14,12,85.71%,48,6,31.8%,All Michael Thomas red zone receiving plays,Michael Thomas,2018
NO,25,20,80.00%,123,3,27.8%,8,7,87.50%,30,2,18.2%,All Alvin Kamara red zone receiving plays,Alvin Kamara,2018
HOU,24,14,58.33%,127,8,35.3%,15,7,46.67%,41,4,38.5%,All DeAndre Hopkins red zone receiving plays,DeAndre Hopkins,2018
KC,24,16,66.67%,129,9,26.1%,12,7,58.33%,32,5,26.7%,All Travis Kelce red zone receiving plays,Travis Kelce,2018
GB,23,14,60.87%,133,12,40.4%,8,6,75.00%,36,6,36.4%,All Davante Adams red zone receiving plays,Davante Adams,2018
