Player,Tm,Age,Tgt,TD_rec,Team_Yds,Team_Tgt,VBD,PPR,Year
Richard Rodgers,PHI,29,2,0,6300,436,0,3.1,2021
Luke Stocker,MIN,33,2,0,6350,573,0,3.2,2021
Eric Tomlinson,BAL,29,1,0,6344,588,0,1.7,2021
Ethan Wolf,NO,26,2,0,5150,446,0,2.8,2021
Nick Boyle,BAL,28,2,0,6344,588,0,1.2,2021
Darrell Daniels,ARI,27,4,0,6668,489,0,1.0,2021
Daniel Helm,LV,26,2,0,6415,579,0,0.9,2021
Deon Yelder,TB,26,1,0,7037,712,0,1.0,2021
Travis Kelce,KC,33,152,12,7161,597,114,316.3,2022
George Kittle,SF,29,86,11,5161,426,52,200.5,2022
Taysom Hill,NO,32,13,2,5873,487,49,145.8,2022
T.J. Hockenson,2TM,25,129,6,6488,741,42,215.4,2022
Mark Andrews,BAL,27,113,5,5921,460,30,190.5,2022
Evan Engram,JAX,28,98,4,5924,563,18,176.9,2022
Cole Kmet,CHI,23,69,7,5609,326,11,147.3,2022
Juwan Johnson,NO,26,65,7,5873,487,7,134.8,2022
Dawson Knox,BUF,26,65,6,6435,526,2,135.7,2022
Dallas Goedert,PHI,27,69,3,6873,505,1,141.2,2022
Dalton Schultz,DAL,26,89,5,6209,545,0,142.7,2022
Pat Freiermuth,PIT,24,98,2,5674,498,0,148.2,2022
David Njoku,CLE,26,80,4,6200,495,0,142.0,2022
Gerald Everett,LAC,28,87,4,6315,687,0,139.5,2022
Jordan Akins,HOU,30,54,5,5107,528,0,116.5,2022
Tyler Higbee,LAR,29,108,3,4262,516,0,152.0,2022
Tyler Conklin,NYJ,27,87,3,5622,584,0,131.5,2022
Noah Fant,SEA,25,63,4,6326,547,0,122.6,2022
Zach Ertz,ARI,32,69,4,5536,579,0,115.6,2022
Mike Gesicki,MIA,27,52,5,5939,521,0,98.2,2022
Chigoziem Okonkwo,TEN,23,46,3,5333,428,0,97.2,2022
Hunter Henry,NE,28,59,2,5627,514,0,103.9,2022
Robert Tonyan,GB,28,67,2,6003,509,0,112.0,2022
Darren Waller,LV,30,43,3,6244,558,0,84.8,2022
Austin Hooper,TEN,28,60,2,5333,428,0,97.4,2022
Isaiah Likely,BAL,22,60,3,5921,460,0,91.3,2022
Will Dissly,SEA,26,38,3,6326,547,0,86.9,2022
Greg Dulcich,DEN,22,55,2,5030,484,0,86.1,2022
Hayden Hurst,CIN,29,68,2,6048,594,0,105.4,2022
Foster Moreau,LV,25,54,2,6244,558,0,85.2,2022
Cade Otton,TB,23,65,2,6052,717,0,93.1,2022
Jelani Woods,IND,24,40,3,5319,546,0,74.2,2022
Kyle Pitts,ATL,22,59,2,5645,400,0,75.6,2022
Brock Wright,DET,24,24,4,6562,519,0,63.6,2022
Daniel Bellinger,NYG,22,35,2,5930,419,0,75.0,2022
Colby Parkinson,SEA,23,34,2,6326,547,0,69.2,2022
Noah Gray,KC,23,34,1,7161,597,0,70.0,2022
MyCole Pruitt,ATL,30,21,4,5645,400,0,55.0,2022
Logan Thomas,WAS,31,61,1,5926,531,0,77.3,2022
Mo Alie-Cox,IND,29,28,3,5319,546,0,53.9,2022
C.J. Uzomah,NYJ,29,27,2,5622,584,0,56.2,2022
Trey McBride,ARI,23,39,1,5536,579,0,61.5,2022
Tommy Tremble,CAR,22,32,3,3696,357,0,52.4,2022
Harrison Bryant,CLE,24,42,1,6200,495,0,61.7,2022
Kylen Granson,IND,24,40,0,5319,546,0,61.2,2022
Irv Smith Jr.,MIN,24,36,2,6466,555,0,55.2,2022
Shane Zylstra,DET,26,15,4,6562,519,0,41.0,2022
Jake Ferguson,DAL,23,22,2,6209,545,0,48.4,2022
Peyton Hendershot,DAL,23,16,2,6209,545,0,39.5,2022
O.J. Howard,HOU,28,23,2,5107,528,0,36.5,2022
Josh Oliver,BAL,25,25,2,5921,460,0,40.9,2022
Adam Trautman,NO,25,22,1,5873,487,0,44.7,2022
Jonnu Smith,NE,27,38,0,5627,514,0,52.0,2022
Durham Smythe,MIA,27,20,1,5939,521,0,40.0,2022
Connor Heyward,PIT,23,17,1,5674,498,0,35.8,2022
Teagan Quitoriano,HOU,22,14,2,5107,528,0,30.3,2022
Jody Fortson,KC,27,13,2,7161,597,0,29.8,2022
Marcedes Lewis,GB,38,7,2,6003,509,0,26.6,2022
Eric Saubert,DEN,28,24,1,5030,484,0,35.8,2022
Johnny Mundt,MIN,28,21,1,6466,555,0,39.0,2022
Ian Thomas,CAR,26,30,0,3696,357,0,40.7,2022
Eric Tomlinson,DEN,30,13,2,5030,484,0,28.9,2022
Mitchell Wilcox,CIN,26,18,1,6048,594,0,36.9,2022
Donald Parham,LAC,25,12,1,6315,687,0,29.0,2022
Lawrence Cager,2TM,25,19,1,6488,741,0,30.8,2022
John Bates,WAS,25,22,1,5926,531,0,30.8,2022
Cameron Brate,TB,31,38,0,6052,717,0,37.4,2022
Ross Dwelley,SF,27,5,1,5161,426,0,19.5,2022
James Mitchell,DET,23,11,1,6562,519,0,28.3,2022
Albert Okwuegbunam,DEN,24,18,1,5030,484,0,25.5,2022
Dan Arnold,JAX,27,13,0,5924,563,0,22.5,2022
Ko Kieft,TB,24,10,1,6052,717,0,21.0,2022
Zach Gentry,PIT,26,23,0,5674,498,0,32.2,2022
Tanner Hudson,NYG,28,15,0,5930,419,0,23.2,2022
Brevin Jordan,HOU,22,28,0,5107,528,0,26.8,2022
Pharaoh Brown,2TM,28,20,0,6488,741,0,23.7,2022
Quintin Morris,BUF,23,11,1,6435,526,0,20.4,2022
Jack Stoll,PHI,24,14,0,6873,505,0,23.3,2022
Geoff Swaim,TEN,29,16,1,5333,428,0,23.8,2022
Josiah Deguara,GB,25,15,0,6003,509,0,24.4,2022
Brycen Hopkins,LAR,25,11,0,4262,516,0,17.9,2022
Anthony Firkser,ATL,27,13,0,5645,400,0,19.0,2022
Parker Hesse,ATL,27,11,0,5645,400,0,17.9,2022
Armani Rogers,WAS,25,6,0,5926,531,0,14.0,2022
Kyle Rudolph,TB,33,5,1,6052,717,0,11.8,2022
Blake Bell,KC,31,2,1,7161,597,0,10.0,2022
Grant Calcaterra,PHI,24,9,0,6873,505,0,13.1,2022
Andrew Beck,DEN,26,11,0,5030,484,0,11.9,2022
Tyler Mabry,SEA,26,1,1,6326,547,0,7.7,2022
Tre' McKitty,LAC,23,18,0,6315,687,0,17.2,2022
Tyler Kroft,SF,30,5,0,5161,426,0,9.7,2022
Nick Vannett,2TM,29,9,0,6488,741,0,11.5,2022
Charlie Kolar,BAL,23,6,0,5921,460,0,8.9,2022
Stephen Sullivan,CAR,26,6,0,3696,357,0,6.6,2022
Trevon Wesco,CHI,27,4,0,5609,326,0,6.6,2022
Kendall Blanton,LAR,27,2,0,4262,516,0,5.5,2022
Luke Farrell,JAX,25,4,0,5924,563,0,8.0,2022
Chris Manhertz,JAX,30,8,0,5924,563,0,10.2,2022
Tyler Davis,GB,25,7,0,6003,509,0,6.6,2022
Ben Ellefson,MIN,26,3,0,6466,555,0,5.6,2022
Ryan Griffin,CHI,32,8,0,5609,326,0,6.6,2022
Jesper Horsted,LV,25,4,0,6244,558,0,4.9,2022
Stone Smartt,LAC,24,5,0,6315,687,0,5.7,2022
Cole Turner,WAS,22,9,0,5926,531,0,4.3,2022
Maxx Williams,ARI,28,3,0,5536,579,0,4.8,2022
Stephen Anderson,ARI,29,7,0,5536,579,0,3.9,2022
Devin Asiasi,CIN,25,4,0,6048,594,0,2.5,2022
Jacob Harris,LAR,25,1,0,4262,516,0,1.6,2022
Sean McKeon,DAL,25,3,0,6209,545,0,3.1,2022
Jeremy Ruckert,NYJ,22,2,0,5622,584,0,1.8,2022
Mason Schreck,HOU,29,2,0,5107,528,0,2.6,2022
Tommy Sweeney,BUF,27,1,0,6435,526,0,1.7,2022
Feleipe Franks,ATL,25,2,0,5645,400,0,0.0,2022
Richard Rodgers,LAC,30,4,0,6315,687,0,1.4,2022
Drew Sample,CIN,26,2,0,6048,594,0,1.8,2022
