Tm,EXP,TO,NY/A,Y/A,Year,Pass_QB_def_norm,Rush_def_norm
PHI,-24.57,20,6.3,4.1,2019,0.004632038612777173,-0.46211858331988886
NYJ,6.94,21,6.1,3.3,2019,-0.29181843260497903,-2.2018591322888788
LAR,-10.53,24,5.9,4.1,2019,-0.588268903822734,-0.46211858331988886
IND,-56.37,23,6.6,4.1,2019,0.4493077454394109,-0.46211858331988886
HOU,-155.87,22,6.9,4.8,2019,0.8939834522660458,1.060154397027978
CLE,-88.15,20,6.3,5.0,2019,0.004632038612777173,1.4950895342702262
JAX,-118.09,19,6.7,5.1,2019,0.5975329810482897,1.7125571028913493
SEA,-83.02,32,6.7,4.9,2019,0.5975329810482897,1.2776219656491032
ATL,-98.34,20,6.9,4.2,2019,0.8939834522660458,-0.2446510146987639
LV,-159.71,15,7.4,3.9,2019,1.6351096303104358,-0.897053720562136
CIN,-130.66,16,7.4,4.7,2019,1.6351096303104358,0.8426868284068552
DET,-137.55,18,7.1,4.1,2019,1.1904339234838008,-0.46211858331988886
WSH,-132.83,22,6.5,4.7,2019,0.3010825098305334,0.8426868284068552
ARI,-173.55,17,7.0,4.4,2019,1.0422086878749233,0.19028412254348412
TB,20.23,28,6.1,3.3,2019,-0.29181843260497903,-2.2018591322888788
NYG,-104.11,16,7.1,3.9,2019,1.1904339234838008,-0.897053720562136
CAR,-109.88,21,6.2,5.2,2019,-0.1435931969961003,1.9300246715124743
MIA,-170.02,16,7.4,4.5,2019,1.6351096303104358,0.40775169116460713
LAR,85.89,22,5.1,3.8,2020,-2.0227415449076194,-1.5128571085915703
BAL,-17.69,22,5.6,4.6,2020,-1.2612388456482804,0.5472036350224811
PIT,33.24,27,5.3,4.3,2020,-1.7181404652038836,-0.22531914383278784
WSH,32.51,23,5.3,4.2,2020,-1.7181404652038836,-0.4828267367845434
NO,-40.02,26,5.8,3.9,2020,-0.9566377659445445,-1.2553495156398136
MIA,-36.43,29,6.9,4.5,2020,0.7186681724260023,0.2896960420707256
NE,-113.1,22,6.9,4.5,2020,0.7186681724260023,0.2896960420707256
TB,-22.04,25,5.9,3.6,2020,-0.8043372260926759,-2.0278722944950824
NYG,-66.94,22,6.2,4.1,2020,-0.34743560653707267,-0.7403343297363013
IND,-75.62,25,6.4,3.7,2020,-0.042834526833336745,-1.770364701543326
KC,-127.89,22,6.4,4.5,2020,-0.042834526833336745,0.2896960420707256
ARI,-82.04,21,5.9,4.6,2020,-0.8043372260926759,0.5472036350224811
GB,-109.67,18,6.1,4.5,2020,-0.4997361463889413,0.2896960420707256
CHI,-90.3,18,6.4,4.1,2020,-0.042834526833336745,-0.7403343297363013
SEA,-85.81,22,6.3,3.9,2020,-0.1951350666852054,-1.2553495156398136
BUF,-123.1,26,6.1,4.6,2020,-0.4997361463889413,0.5472036350224811
SF,-16.82,20,5.9,4.0,2020,-0.8043372260926759,-0.9978419226880569
CAR,-125.54,22,6.2,4.7,2020,-0.34743560653707267,0.8047112279742391
ATL,-148.58,21,7.2,4.4,2020,1.1755697919816057,0.03218844911897002
PHI,-71.06,19,6.6,4.2,2020,0.26176655287039785,-0.4828267367845434
CLE,-150.42,21,6.4,4.3,2020,-0.042834526833336745,-0.22531914383278784
CIN,-142.2,17,6.9,5.1,2020,0.7186681724260023,1.8347415997812637
LAC,-89.82,19,6.3,4.5,2020,-0.1951350666852054,0.2896960420707256
TEN,-185.2,23,6.8,4.5,2020,0.5663676325741338,0.2896960420707256
DEN,-92.82,16,6.3,4.8,2020,-0.1951350666852054,1.0622188209259946
NYJ,-169.15,19,6.9,4.0,2020,0.7186681724260023,-0.9978419226880569
HOU,-242.84,9,7.1,5.2,2020,1.023269252129737,2.0922491927330213
DAL,-141.7,23,6.7,5.0,2020,0.4140670927222665,1.577234006829508
MIN,-180.29,22,7.3,4.6,2020,1.3278703318334728,0.5472036350224811
LV,-211.22,15,7.0,4.6,2020,0.8709687122778696,0.5472036350224811
JAX,-228.53,17,7.7,4.7,2020,1.9370724912409447,0.8047112279742391
DET,-283.04,12,7.8,4.4,2020,2.089373031092812,0.03218844911897002
BUF,36.13,30,4.8,4.2,2021,-2.6798350973064697,-0.37659847177095584
NE,-4.84,30,5.5,4.5,2021,-1.3576257100891806,0.6005218874185536
DEN,-36.14,19,6.1,4.3,2021,-0.2243033781886479,-0.05089168537445365
NO,43.03,25,6.0,3.7,2021,-0.4131904335054028,-2.0051324037534726
TB,-0.6,29,5.6,4.3,2021,-1.1687386547724257,-0.05089168537445365
TEN,-30.56,22,6.2,3.9,2021,-0.03541632287189133,-1.3537188309604666
DAL,21.81,34,6.2,4.5,2021,-0.03541632287189133,0.6005218874185536
KC,-131.68,29,6.7,4.8,2021,0.9090189537118865,1.577642246608063
SF,-52.77,20,5.9,4.0,2021,-0.6020774888221577,-1.0280120445639631
IND,-49.31,33,6.3,4.4,2021,0.15347073244486356,0.2748151010220514
ARI,-19.46,27,6.1,4.6,2021,-0.2243033781886479,0.9262286738150558
SEA,-97.48,18,6.5,3.8,2021,0.531244843078375,-1.6794256173569704
GB,-55.57,26,5.8,4.7,2021,-0.7909645441389143,1.2519354602115609
CLE,-54.54,19,5.6,4.2,2021,-1.1687386547724257,-0.37659847177095584
LAR,-17.07,25,6.1,4.0,2021,-0.2243033781886479,-1.0280120445639631
MIA,-16.12,26,5.9,4.4,2021,-0.6020774888221577,0.2748151010220514
CIN,-45.38,21,6.3,4.3,2021,0.15347073244486356,-0.05089168537445365
PHI,-73.93,16,6.1,4.0,2021,-0.2243033781886479,-1.0280120445639631
BAL,-107.49,15,7.2,3.8,2021,1.8534542302956643,-1.6794256173569704
PIT,-55.8,22,5.9,5.0,2021,-0.6020774888221577,2.2290558194010703
CAR,-9.14,16,5.9,4.1,2021,-0.6020774888221577,-0.7023052581674609
CHI,-77.49,16,6.2,4.4,2021,-0.03541632287189133,0.2748151010220514
NYG,-76.83,22,6.0,4.5,2021,-0.4131904335054028,0.6005218874185536
MIN,-86.3,24,6.4,4.7,2021,0.3423577877616201,1.2519354602115609
WSH,-125.4,19,6.8,4.1,2021,1.0979060090286414,-0.7023052581674609
LV,-138.31,15,5.9,4.2,2021,-0.6020774888221577,-0.37659847177095584
HOU,-143.17,25,7.1,4.6,2021,1.6645671749789077,0.9262286738150558
JAX,-154.57,9,6.7,4.3,2021,0.9090189537118865,-0.05089168537445365
ATL,-136.74,20,6.6,4.3,2021,0.7201318983951299,-0.05089168537445365
LAC,-122.86,21,6.3,4.6,2021,0.15347073244486356,0.9262286738150558
DET,-176.03,19,7.2,4.4,2021,1.8534542302956643,0.2748151010220514
NYJ,-193.85,14,7.1,4.5,2021,1.6645671749789077,0.6005218874185536
SF,56.26,30,5.9,3.4,2022,-0.4280522217268443,-2.2765745029870854
BUF,4.46,27,5.6,4.3,2022,-0.9909702119429711,-0.3076452031063646
BAL,-32.38,25,6.2,3.9,2022,0.1348657684892807,-1.1827248919422404
NYJ,25.96,16,5.4,4.2,2022,-1.3662488720870534,-0.5264151253153329
CIN,-20.02,24,6.2,4.2,2022,0.1348657684892807,-0.5264151253153329
DAL,31.77,33,5.7,4.4,2022,-0.8033308818709283,-0.08887528089739444
WSH,7.28,18,5.8,4.4,2022,-0.6156915517988871,-0.08887528089739444
PHI,20.73,27,4.9,4.6,2022,-2.304445522447262,0.34866456352054204
NO,-30.6,14,5.4,4.5,2022,-1.3662488720870534,0.1298946413115738
PIT,-47.1,23,6.5,4.2,2022,0.6977837587054058,-0.5264151253153329
NE,55.35,30,5.7,4.1,2022,-0.8033308818709283,-0.745185047524303
JAX,-52.27,27,6.4,4.2,2022,0.5101444286333646,-0.5264151253153329
TB,-36.51,20,5.6,4.5,2022,-0.9909702119429711,0.1298946413115738
DEN,7.24,23,5.6,4.3,2022,-0.9909702119429711,-0.3076452031063646
TEN,-52.12,20,6.6,3.4,2022,0.8854230887774469,-2.2765745029870854
KC,-65.59,20,5.6,4.4,2022,-0.9909702119429711,-0.08887528089739444
GB,-63.86,24,6.5,5.0,2022,0.6977837587054058,1.2237442523564188
NYG,-125.22,19,6.0,5.2,2022,-0.24041289165480323,1.6612840967743572
CAR,-52.04,17,6.3,4.3,2022,0.3225050985613218,-0.3076452031063646
CLE,-57.92,20,6.0,4.7,2022,-0.24041289165480323,0.5674344857295122
LAC,-84.56,24,6.2,5.4,2022,0.1348657684892807,2.0988239411922955
LAR,-75.59,22,6.5,4.3,2022,0.6977837587054058,-0.3076452031063646
ATL,-123.5,17,6.8,4.4,2022,1.2607017489215309,-0.08887528089739444
MIA,-66.41,14,6.0,4.1,2022,-0.24041289165480323,-0.745185047524303
SEA,-113.17,25,6.1,4.9,2022,-0.052773561582762085,1.0049743301474505
LV,-132.08,13,6.7,4.5,2022,1.0730624188494897,0.1298946413115738
HOU,-80.38,27,6.3,5.1,2022,0.3225050985613218,1.442514174565387
MIN,-104.0,25,6.9,4.5,2022,1.4483410789935736,0.1298946413115738
DET,-159.66,22,7.0,5.2,2022,1.6359804090656147,1.6612840967743572
IND,-51.07,21,6.1,4.1,2022,-0.052773561582762085,-0.745185047524303
ARI,-81.73,20,6.2,4.5,2022,0.1348657684892807,0.1298946413115738
CHI,-169.13,23,7.4,4.9,2022,2.3865377293537824,1.0049743301474505
